threshold,mean_frac_evictable,median_frac_evictable,p90_frac_evictable
0,0.1125,0.0637,0.2894
1,0.2014,0.1325,0.5151
2,0.2582,0.1846,0.6089
3,0.3371,0.2788,0.7550
5,0.4224,0.4175,0.8046
