model,n_rows,median_user,median_assistant,median_tool,median_first_10pct,median_25_50pct,median_75_100pct,median_tool_small,median_tool_mid,median_tool_big
Qwen/Qwen3-1.7B,272,0.033687499999999995,0.014333,0.004651,5.2180035,0.00499,0.013704999999999998,0.0038265,0.0056454999999999995,0.023989
Qwen/Qwen3-4B,272,0.03072,0.013547,0.005057,4.8414684999999995,0.007074,0.012856,0.0045575,0.0067150000000000005,0.030678
Qwen/Qwen3-8B,272,0.046606499999999995,0.015776,0.007168,4.496987,0.007744,0.01758,0.0055285,0.008853,0.03168
attention/scores,304,0.026321,0.010837,0.0041505,5.2831434999999995,0.003575,0.011156,0.004055,0.003897,0.028595
