benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,anthropic/claude-haiku-4-5,none,4,2,0,29.50,1391816,964398,0.000,3.598144,1.199381,17.990718,2.790179,0.558036,0.109126,0.109126,0.109126,0.065475,0.065475,0.054563,0.027281,0.027281,0.934760
swebench_live,anthropic/claude-haiku-4-5,score_periodic,4,2,17,39.00,1474154,902963,51.055,4.328674,1.442891,21.643371,3.379612,0.675922,0.139940,0.139940,0.139940,0.083964,0.083964,0.069970,0.034985,0.034985,1.197121
swebench_live,anthropic/claude-haiku-4-5,smart_evict,4,2,5,32.50,1741600,1355330,30.160,3.647832,1.215944,18.239158,3.051840,0.610368,0.110039,0.110039,0.110039,0.066024,0.066024,0.055020,0.027510,0.027510,0.935030
