policy,anthropic/claude-sonnet-4-6,anthropic/claude-haiku-4-5,anthropic/claude-opus-4-7,openai/gpt-4.1,openai/gpt-4.1-mini,qwen/qwen3-30b-a3b,hf:Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen/Qwen3-14B-Instruct-2507,hf:Qwen/Qwen3-14B-Instruct-2507,qwen/qwen3-8b,Qwen/Qwen3-4B-Instruct-2507,vllm:Qwen/Qwen3-4B-Instruct-2507,meta/llama-3.3-70b-together
llm_reorganizer,3.473773,1.157924,17.368866,2.771474,0.554295,0.113853,0.113853,0.113853,0.068312,0.068312,0.056927,0.028463,0.028463,0.984847
none,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
prefix_preserving,3.182071,1.060690,15.910353,3.237649,0.647530,0.104070,0.104070,0.104070,0.062442,0.062442,0.052035,0.026018,0.026018,0.898228
smart_evict,2.200259,0.733420,11.001295,2.227704,0.445541,0.064919,0.064919,0.064919,0.038951,0.038951,0.032459,0.016230,0.016230,0.497161
