benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,llm_reorganizer,4,1,41,31.00,629812,395846,3.420,3.473773,1.157924,17.368866,2.771474,0.554295,0.113853,0.113853,0.113853,0.068312,0.068312,0.056927,0.028463,0.028463,0.984847
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,none,4,0,0,25.00,2071192,2027848,0.000,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,prefix_preserving,4,1,16,29.75,1014116,881053,8.011,3.182071,1.060690,15.910353,3.237649,0.647530,0.104070,0.104070,0.104070,0.062442,0.062442,0.052035,0.026018,0.026018,0.898228
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,smart_evict,4,2,28,64.50,1529064,1408494,21.502,2.200259,0.733420,11.001295,2.227704,0.445541,0.064919,0.064919,0.064919,0.038951,0.038951,0.032459,0.016230,0.016230,0.497161
