policy,anthropic/claude-sonnet-4-6,anthropic/claude-haiku-4-5,anthropic/claude-opus-4-7,openai/gpt-4.1,openai/gpt-4.1-mini,qwen/qwen3-30b-a3b,hf:Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen/Qwen3-14B-Instruct-2507,hf:Qwen/Qwen3-14B-Instruct-2507,qwen/qwen3-8b,Qwen/Qwen3-4B-Instruct-2507,vllm:Qwen/Qwen3-4B-Instruct-2507,meta/llama-3.3-70b-together
consumption_evict,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
none,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
smart_evict,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
