benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
taubench,anthropic/claude-haiku-4-5,consumption_evict,2,0,0,94.00,1776100,1683310,0.000,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
taubench,anthropic/claude-haiku-4-5,none,1,0,0,114.00,3448146,3295043,0.000,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
taubench,anthropic/claude-haiku-4-5,smart_evict,1,0,0,23.00,188512,168232,0.000,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
