policy,anthropic/claude-haiku-4-5,anthropic/claude-sonnet-4-6,openai/gpt-4.1-mini,openai/gpt-4.1,qwen/qwen3-30b-a3b
boundary_aware,0.060388,0.181163,0.038189,0.190943,0.005356
microcompact,0.094464,0.283393,0.053036,0.265179,0.007671
naive_summary,0.056932,0.170795,0.033895,0.169473,0.004964
none,0.060425,0.181275,0.038317,0.191583,0.005364
prefix_preserving,0.058318,0.174954,0.035220,0.176102,0.005110
