benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,anthropic/claude-haiku-4-5,consumption_evict,20,18,45,30.65,826654,473638,32.601,1.463083,0.487694,7.315416,1.110527,0.222105,0.046846,0.046846,0.046846,0.028108,0.028108,0.023423,0.011711,0.011711,0.398403
swebench_live,anthropic/claude-haiku-4-5,none,10,9,0,25.50,720303,512931,0.000,0.992154,0.330718,4.960771,0.797101,0.159420,0.030665,0.030665,0.030665,0.018399,0.018399,0.015332,0.007666,0.007666,0.258561
swebench_live,anthropic/claude-haiku-4-5,smart_evict,10,9,6,27.00,888024,616802,35.304,1.257842,0.419281,6.289211,1.001336,0.200267,0.039087,0.039087,0.039087,0.023452,0.023452,0.019544,0.009772,0.009772,0.331659
