benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,llm_reorganizer,4,1,1,63.75,2888123,2840921,33.000,5.945116,1.981705,29.725580,7.110019,1.422004,0.171921,0.171921,0.171921,0.103153,0.103153,0.085960,0.042980,0.042980,1.281908
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,none,4,1,0,29.50,2391975,2340574,0.000,3.609971,1.203324,18.049856,5.190741,1.038148,0.117873,0.117873,0.117873,0.070724,0.070724,0.058936,0.029468,0.029468,1.015636
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,prefix_preserving,4,1,0,51.50,1392056,1359686,0.000,2.205083,0.735028,11.025414,3.077009,0.615402,0.071036,0.071036,0.071036,0.042621,0.042621,0.035518,0.017759,0.017759,0.603405
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,smart_evict,4,1,0,26.25,836854,815150,0.000,1.352250,0.450750,6.761251,1.864530,0.372906,0.043560,0.043560,0.043560,0.026136,0.026136,0.021780,0.010890,0.010890,0.369996
