benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,anthropic/claude-haiku-4-5,llm_reorganizer,4,2,71,34.50,1291988,904978,11.331,3.264315,1.088105,16.321573,2.651910,0.530382,0.103681,0.103681,0.103681,0.062209,0.062209,0.051841,0.025920,0.025920,0.881332
swebench_live,anthropic/claude-haiku-4-5,none,4,2,0,29.75,1576636,1269190,0.000,2.951468,0.983823,14.757341,2.622049,0.524410,0.091488,0.091488,0.091488,0.054893,0.054893,0.045744,0.022872,0.022872,0.778020
swebench_live,anthropic/claude-haiku-4-5,smart_evict,4,2,5,29.25,1375318,1152780,30.827,2.310007,0.770002,11.550037,2.193925,0.438785,0.073225,0.073225,0.073225,0.043935,0.043935,0.036613,0.018306,0.018306,0.611166
