task_id,benchmark,policy,cost_model,n_steps,n_compactions,total_prompt_tokens,total_cached_tokens,total_completion_tokens,lifetime_cost,uncached_dollars,cached_dollars,output_dollars,compaction_dollars
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,10,0,110072,97068,1965,0.090262,0.026008,0.048534,0.01572,0.0
ac_agentic_coding_8k-00001,ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,10,0,110072,97068,1965,0.0028605799999999997,0.0013004000000000002,0.00097068,0.0005895,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,7,0,56082,46869,1521,0.0215049,0.009213,0.004686900000000001,0.007605,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,7,0,56082,46869,1521,0.0645147,0.027639,0.014060699999999999,0.022815,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,none,openai/gpt-4.1-mini,7,0,56082,46869,1521,0.0108057,0.0036852000000000005,0.004686900000000001,0.0024335999999999997,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,none,openai/gpt-4.1,7,0,56082,46869,1521,0.0540285,0.018426,0.0234345,0.012168,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,7,0,56082,46869,1521,0.0018462900000000002,0.0009213000000000001,0.00046869,0.00045630000000000003,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,7,0,56082,46869,1521,0.0215049,0.009213,0.004686900000000001,0.007605,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,7,0,56082,46869,1521,0.0645147,0.027639,0.014060699999999999,0.022815,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,7,0,56082,46869,1521,0.0108057,0.0036852000000000005,0.004686900000000001,0.0024335999999999997,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,7,0,56082,46869,1521,0.0540285,0.018426,0.0234345,0.012168,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,7,0,56082,46869,1521,0.0018462900000000002,0.0009213000000000001,0.00046869,0.00045630000000000003,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,7,0,56082,46869,1521,0.0215049,0.009213,0.004686900000000001,0.007605,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,7,0,56082,46869,1521,0.0645147,0.027639,0.014060699999999999,0.022815,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,7,0,56082,46869,1521,0.0108057,0.0036852000000000005,0.004686900000000001,0.0024335999999999997,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,7,0,56082,46869,1521,0.0540285,0.018426,0.0234345,0.012168,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,7,0,56082,46869,1521,0.0018462900000000002,0.0009213000000000001,0.00046869,0.00045630000000000003,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,7,0,56082,46869,1521,0.0215049,0.009213,0.004686900000000001,0.007605,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,7,0,56082,46869,1521,0.0645147,0.027639,0.014060699999999999,0.022815,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,7,0,56082,46869,1521,0.0108057,0.0036852000000000005,0.004686900000000001,0.0024335999999999997,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,7,0,56082,46869,1521,0.0540285,0.018426,0.0234345,0.012168,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,7,0,56082,46869,1521,0.0018462900000000002,0.0009213000000000001,0.00046869,0.00045630000000000003,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,7,0,56082,46869,1521,0.0215049,0.009213,0.004686900000000001,0.007605,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,7,0,56082,46869,1521,0.0645147,0.027639,0.014060699999999999,0.022815,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,7,0,56082,46869,1521,0.0108057,0.0036852000000000005,0.004686900000000001,0.0024335999999999997,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,7,0,56082,46869,1521,0.0540285,0.018426,0.0234345,0.012168,0.0
ac_agentic_coding_8k-00002,ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,7,0,56082,46869,1521,0.0018462900000000002,0.0009213000000000001,0.00046869,0.00045630000000000003,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,10,0,97700,84967,2282,0.0326397,0.012733,0.008496700000000001,0.01141,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,10,0,97700,84967,2282,0.0979191,0.038199,0.025490099999999998,0.03423,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,openai/gpt-4.1-mini,10,0,97700,84967,2282,0.017241100000000002,0.005093200000000001,0.008496700000000001,0.0036512000000000003,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,openai/gpt-4.1,10,0,97700,84967,2282,0.08620549999999999,0.025466,0.0424835,0.018256,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,10,0,97700,84967,2282,0.00280757,0.0012733000000000002,0.0008496700000000001,0.0006846,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,10,0,97700,84967,2282,0.0326397,0.012733,0.008496700000000001,0.01141,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,10,0,97700,84967,2282,0.0979191,0.038199,0.025490099999999998,0.03423,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,10,0,97700,84967,2282,0.017241100000000002,0.005093200000000001,0.008496700000000001,0.0036512000000000003,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,10,0,97700,84967,2282,0.08620549999999999,0.025466,0.0424835,0.018256,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,10,0,97700,84967,2282,0.00280757,0.0012733000000000002,0.0008496700000000001,0.0006846,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,10,0,97700,84967,2282,0.0326397,0.012733,0.008496700000000001,0.01141,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,10,0,97700,84967,2282,0.0979191,0.038199,0.025490099999999998,0.03423,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,10,0,97700,84967,2282,0.017241100000000002,0.005093200000000001,0.008496700000000001,0.0036512000000000003,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,10,0,97700,84967,2282,0.08620549999999999,0.025466,0.0424835,0.018256,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,10,0,97700,84967,2282,0.00280757,0.0012733000000000002,0.0008496700000000001,0.0006846,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,10,0,97700,84967,2282,0.0326397,0.012733,0.008496700000000001,0.01141,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-sonnet-4-6,10,0,97700,84967,2282,0.0979191,0.038199,0.025490099999999998,0.03423,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1-mini,10,0,97700,84967,2282,0.017241100000000002,0.005093200000000001,0.008496700000000001,0.0036512000000000003,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,openai/gpt-4.1,10,0,97700,84967,2282,0.08620549999999999,0.025466,0.0424835,0.018256,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,prefix_preserving,qwen/qwen3-30b-a3b,10,0,97700,84967,2282,0.00280757,0.0012733000000000002,0.0008496700000000001,0.0006846,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,anthropic/claude-haiku-4-5,10,0,97700,84967,2282,0.0326397,0.012733,0.008496700000000001,0.01141,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,anthropic/claude-sonnet-4-6,10,0,97700,84967,2282,0.0979191,0.038199,0.025490099999999998,0.03423,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1-mini,10,0,97700,84967,2282,0.017241100000000002,0.005093200000000001,0.008496700000000001,0.0036512000000000003,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,openai/gpt-4.1,10,0,97700,84967,2282,0.08620549999999999,0.025466,0.0424835,0.018256,0.0
ac_agentic_coding_8k-00003,ac_agentic_coding_8k,boundary_aware,qwen/qwen3-30b-a3b,10,0,97700,84967,2282,0.00280757,0.0012733000000000002,0.0008496700000000001,0.0006846,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,anthropic/claude-haiku-4-5,23,0,252376,237129,4795,0.0629349,0.015247,0.023712900000000002,0.023975,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,anthropic/claude-sonnet-4-6,23,0,252376,237129,4795,0.1888047,0.045741,0.0711387,0.071925,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,openai/gpt-4.1-mini,23,0,252376,237129,4795,0.0374837,0.006098800000000001,0.023712900000000002,0.007672,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,openai/gpt-4.1,23,0,252376,237129,4795,0.18741850000000002,0.030494,0.1185645,0.03836,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,none,qwen/qwen3-30b-a3b,23,0,252376,237129,4795,0.00533449,0.0015247000000000001,0.00237129,0.0014385,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,anthropic/claude-haiku-4-5,23,0,252376,237129,4795,0.0629349,0.015247,0.023712900000000002,0.023975,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,anthropic/claude-sonnet-4-6,23,0,252376,237129,4795,0.1888047,0.045741,0.0711387,0.071925,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1-mini,23,0,252376,237129,4795,0.0374837,0.006098800000000001,0.023712900000000002,0.007672,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,openai/gpt-4.1,23,0,252376,237129,4795,0.18741850000000002,0.030494,0.1185645,0.03836,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,naive_summary,qwen/qwen3-30b-a3b,23,0,252376,237129,4795,0.00533449,0.0015247000000000001,0.00237129,0.0014385,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,anthropic/claude-haiku-4-5,23,0,252376,237129,4795,0.0629349,0.015247,0.023712900000000002,0.023975,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,anthropic/claude-sonnet-4-6,23,0,252376,237129,4795,0.1888047,0.045741,0.0711387,0.071925,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,openai/gpt-4.1-mini,23,0,252376,237129,4795,0.0374837,0.006098800000000001,0.023712900000000002,0.007672,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,openai/gpt-4.1,23,0,252376,237129,4795,0.18741850000000002,0.030494,0.1185645,0.03836,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,microcompact,qwen/qwen3-30b-a3b,23,0,252376,237129,4795,0.00533449,0.0015247000000000001,0.00237129,0.0014385,0.0
ac_agentic_coding_8k-00004,ac_agentic_coding_8k,prefix_preserving,anthropic/claude-haiku-4-5,23,0,252376,237129,4795,0.0629349,0.015247,0.023712900000000002,0.023975,0.0
