benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__meta/llama-3.3-70b-together
longdoc,Qwen/Qwen3-30B-A3B-Instruct-2507,none,2,2,0,4.00,2685,2012,0.000,0.006619,0.002206,0.033094,0.004483,0.000897,0.000167,0.000167,0.000167,0.000084,0.001003
longdoc,Qwen/Qwen3-30B-A3B-Instruct-2507,position_aware,2,2,0,4.00,2685,2012,0.000,0.006619,0.002206,0.033094,0.004483,0.000897,0.000167,0.000167,0.000167,0.000084,0.001003
longdoc,Qwen/Qwen3-30B-A3B-Instruct-2507,prefix_preserving,2,2,0,4.00,2685,2012,0.000,0.006619,0.002206,0.033094,0.004483,0.000897,0.000167,0.000167,0.000167,0.000084,0.001003
