benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,llm_reorganizer,2,0,0,49.50,839425,814596,0.000,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,none,2,1,0,14.00,163285,147009,0.000,0.237416,0.079139,1.187082,0.239609,0.047922,0.007226,0.007226,0.007226,0.004336,0.004336,0.003613,0.001807,0.001807,0.057544
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,smart_evict,2,1,0,17.50,276481,254650,0.000,0.310614,0.103538,1.553069,0.356287,0.071258,0.009996,0.009996,0.009996,0.005998,0.005998,0.004998,0.002499,0.002499,0.084816
