policy,anthropic/claude-sonnet-4-6,anthropic/claude-haiku-4-5,anthropic/claude-opus-4-7,openai/gpt-4.1,openai/gpt-4.1-mini,qwen/qwen3-30b-a3b,hf:Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen/Qwen3-14B-Instruct-2507,hf:Qwen/Qwen3-14B-Instruct-2507,qwen/qwen3-8b,Qwen/Qwen3-4B-Instruct-2507,vllm:Qwen/Qwen3-4B-Instruct-2507,meta/llama-3.3-70b-together
llm_reorganizer,4.347736,1.449245,21.738681,3.168106,0.633621,0.140106,0.140106,0.140106,0.084064,0.084064,0.070053,0.035027,0.035027,1.190530
none,3.867486,1.289162,19.337428,3.166500,0.633300,0.117682,0.117682,0.117682,0.070609,0.070609,0.058841,0.029420,0.029420,1.009974
prefix_preserving,8.702435,2.900812,43.512176,6.169727,1.233945,0.283114,0.283114,0.283114,0.169869,0.169869,0.141557,0.070779,0.070779,2.448173
smart_evict,5.456240,1.818747,27.281202,3.848657,0.769731,0.172726,0.172726,0.172726,0.103636,0.103636,0.086363,0.043182,0.043182,1.477981
