benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,anthropic/claude-haiku-4-5,llm_reorganizer,4,2,33,42.00,1136528,529667,25.721,4.347736,1.449245,21.738681,3.168106,0.633621,0.140106,0.140106,0.140106,0.084064,0.084064,0.070053,0.035027,0.035027,1.190530
swebench_live,anthropic/claude-haiku-4-5,none,4,2,0,33.00,1742189,1306244,0.000,3.867486,1.289162,19.337428,3.166500,0.633300,0.117682,0.117682,0.117682,0.070609,0.070609,0.058841,0.029420,0.029420,1.009974
swebench_live,anthropic/claude-haiku-4-5,prefix_preserving,4,2,33,53.75,1886158,763850,31.924,8.702435,2.900812,43.512176,6.169727,1.233945,0.283114,0.283114,0.283114,0.169869,0.169869,0.141557,0.070779,0.070779,2.448173
swebench_live,anthropic/claude-haiku-4-5,smart_evict,4,2,47,50.25,1347426,577332,27.260,5.456240,1.818747,27.281202,3.848657,0.769731,0.172726,0.172726,0.172726,0.103636,0.103636,0.086363,0.043182,0.043182,1.477981
