benchmark,policy,cost_model,n,mean_cost_per_task,mean_compactions
ac_office_work_8k,naive_summary,qwen/qwen3-30b-a3b,50,0.083289,32.06
ac_office_work_8k,none,anthropic/claude-haiku-4-5,50,0.160763,0.00
ac_office_work_8k,none,anthropic/claude-sonnet-4-6,50,0.482290,0.00
ac_office_work_8k,none,openai/gpt-4.1,50,0.576030,0.00
ac_office_work_8k,none,openai/gpt-4.1-mini,50,0.115206,0.00
ac_office_work_8k,none,qwen/qwen3-30b-a3b,50,0.015215,0.00
ac_office_work_8k,prefix_preserving,anthropic/claude-haiku-4-5,50,0.610144,25.06
ac_office_work_8k,prefix_preserving,anthropic/claude-sonnet-4-6,50,1.830433,25.06
ac_office_work_8k,prefix_preserving,openai/gpt-4.1,50,1.352247,25.06
ac_office_work_8k,prefix_preserving,openai/gpt-4.1-mini,50,0.270449,25.06
ac_office_work_8k,prefix_preserving,qwen/qwen3-30b-a3b,50,0.060154,25.06
