benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,llm_reorganizer,2,1,20,53.00,1227088,910476,3.678,2.525551,0.841850,12.627753,2.223304,0.444661,0.083517,0.083517,0.083517,0.050110,0.050110,0.041758,0.020879,0.020879,0.729068
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,none,2,1,0,53.00,2262268,2216546,0.000,1.623772,0.541257,8.118859,2.409841,0.481968,0.053866,0.053866,0.053866,0.032319,0.032319,0.026933,0.013466,0.013466,0.471727
swebench_live,Qwen/Qwen3-30B-A3B-Instruct-2507,smart_evict,2,1,20,53.00,1229774,912191,3.678,2.494435,0.831478,12.472173,2.204721,0.440944,0.082593,0.082593,0.082593,0.049556,0.049556,0.041296,0.020648,0.020648,0.721933
