benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,anthropic/claude-haiku-4-5,consumption_evict,4,2,19,35.75,1296745,695927,34.108,4.312600,1.437533,21.563002,3.253938,0.650788,0.139885,0.139885,0.139885,0.083931,0.083931,0.069942,0.034971,0.034971,1.196944
swebench_live,anthropic/claude-haiku-4-5,none,4,2,0,28.75,1383332,883320,0.000,3.960605,1.320202,19.803027,2.988307,0.597661,0.121604,0.121604,0.121604,0.072962,0.072962,0.060802,0.030401,0.030401,1.047028
swebench_live,anthropic/claude-haiku-4-5,smart_evict,4,2,6,28.50,1262467,988783,26.592,2.610355,0.870118,13.051773,2.197900,0.439580,0.078802,0.078802,0.078802,0.047281,0.047281,0.039401,0.019700,0.019700,0.668292
