benchmark,policy,cost_model,n,mean_cost_per_task,mean_compactions
ac_office_work_8k,naive_summary,qwen/qwen3-30b-a3b,200,0.013114,1.71
ac_office_work_8k,none,anthropic/claude-haiku-4-5,200,0.164976,0.00
ac_office_work_8k,none,anthropic/claude-sonnet-4-6,200,0.494929,0.00
ac_office_work_8k,none,openai/gpt-4.1,200,0.614505,0.00
ac_office_work_8k,none,openai/gpt-4.1-mini,200,0.122901,0.00
ac_office_work_8k,none,qwen/qwen3-30b-a3b,200,0.015590,0.00
ac_office_work_8k,prefix_preserving,anthropic/claude-haiku-4-5,200,0.163727,3.73
ac_office_work_8k,prefix_preserving,anthropic/claude-sonnet-4-6,200,0.491181,3.73
ac_office_work_8k,prefix_preserving,openai/gpt-4.1,200,0.519441,3.73
ac_office_work_8k,prefix_preserving,openai/gpt-4.1-mini,200,0.103888,3.73
ac_office_work_8k,prefix_preserving,qwen/qwen3-30b-a3b,200,0.015010,3.73
