benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,anthropic/claude-haiku-4-5,llm_reorganizer,4,2,0,26.75,1145175,733743,0.000,3.365766,1.121922,16.828830,2.492899,0.498580,0.101215,0.101215,0.101215,0.060729,0.060729,0.050607,0.025304,0.025304,0.865736
swebench_live,anthropic/claude-haiku-4-5,none,4,2,0,25.00,1124244,835491,0.000,2.417074,0.805691,12.085369,2.088242,0.417648,0.078126,0.078126,0.078126,0.046875,0.046875,0.039063,0.019531,0.019531,0.666003
swebench_live,anthropic/claude-haiku-4-5,prefix_preserving,4,2,19,48.75,1743583,822447,36.303,7.263287,2.421096,36.316434,5.219510,1.043902,0.234026,0.234026,0.234026,0.140416,0.140416,0.117013,0.058506,0.058506,2.019369
swebench_live,anthropic/claude-haiku-4-5,smart_evict,4,2,1,32.00,1658312,1169819,3.105,4.029414,1.343138,20.147072,3.264718,0.652944,0.126380,0.126380,0.126380,0.075828,0.075828,0.063190,0.031595,0.031595,1.081139
