policy,anthropic/claude-sonnet-4-6,anthropic/claude-haiku-4-5,anthropic/claude-opus-4-7,openai/gpt-4.1,openai/gpt-4.1-mini,qwen/qwen3-30b-a3b,hf:Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen/Qwen3-14B-Instruct-2507,hf:Qwen/Qwen3-14B-Instruct-2507,qwen/qwen3-8b,Qwen/Qwen3-4B-Instruct-2507,vllm:Qwen/Qwen3-4B-Instruct-2507,meta/llama-3.3-70b-together
llm_reorganizer,3.365766,1.121922,16.828830,2.492899,0.498580,0.101215,0.101215,0.101215,0.060729,0.060729,0.050607,0.025304,0.025304,0.865736
none,2.417074,0.805691,12.085369,2.088242,0.417648,0.078126,0.078126,0.078126,0.046875,0.046875,0.039063,0.019531,0.019531,0.666003
prefix_preserving,7.263287,2.421096,36.316434,5.219510,1.043902,0.234026,0.234026,0.234026,0.140416,0.140416,0.117013,0.058506,0.058506,2.019369
smart_evict,4.029414,1.343138,20.147072,3.264718,0.652944,0.126380,0.126380,0.126380,0.075828,0.075828,0.063190,0.031595,0.031595,1.081139
