benchmark,model,policy,n_tasks,n_resolved,n_compactions_total,mean_steps,mean_prompt_tokens,mean_cached_tokens,mean_cliff_blocks,cost_per_resolved__anthropic/claude-sonnet-4-6,cost_per_resolved__anthropic/claude-haiku-4-5,cost_per_resolved__anthropic/claude-opus-4-7,cost_per_resolved__openai/gpt-4.1,cost_per_resolved__openai/gpt-4.1-mini,cost_per_resolved__qwen/qwen3-30b-a3b,cost_per_resolved__hf:Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-30B-A3B-Instruct-2507,cost_per_resolved__Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__hf:Qwen/Qwen3-14B-Instruct-2507,cost_per_resolved__qwen/qwen3-8b,cost_per_resolved__Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__vllm:Qwen/Qwen3-4B-Instruct-2507,cost_per_resolved__meta/llama-3.3-70b-together
swebench_live,anthropic/claude-haiku-4-5,consumption_evict,4,3,20,37.50,1520119,891109,35.556,3.094519,1.031506,15.472596,2.378700,0.475740,0.099772,0.099772,0.099772,0.059863,0.059863,0.049886,0.024943,0.024943,0.854395
swebench_live,anthropic/claude-haiku-4-5,none,4,2,0,27.50,1363620,929980,0.000,3.600885,1.200295,18.004426,2.778334,0.555667,0.109595,0.109595,0.109595,0.065757,0.065757,0.054797,0.027399,0.027399,0.939401
swebench_live,anthropic/claude-haiku-4-5,smart_evict,4,2,4,27.50,1265979,980025,18.986,2.551519,0.850506,12.757595,2.226560,0.445312,0.080643,0.080643,0.080643,0.048386,0.048386,0.040322,0.020161,0.020161,0.687062
